,Unnamed: 0,SOURCE,ARTICULO,WORDS,TRANSLATE,SENTENCES_A,SENTENCES_B,SENTENCES_C,SENTENCES_D,SENTENCES_E,SENTENCES_F,READ,HEAR,WRITE,TALK,STATUS
103,7,,,los,The,,,,,,,,,,,
104,8,,,se,he has been,,,,,,,,,,,
105,9,,,del,of the,,,,,,,,,,,
106,10,,,las,the,,,,,,,,,,,
107,11,,,un,a,,,,,,,,,,,
108,12,,,por,by,,,,,,,,,,,
109,13,,,con,with,,,,,,,,,,,
110,14,,,no,no,,,,,,,,,,,
111,15,,,una,a,,,,,,,,,,,
112,16,,,su,his,,,,,,,,,,,
113,17,,,para,for,,,,,,,,,,,
114,18,,,es,en,,,,,,,,,,,
115,19,,,al,at,,,,,,,,,,,
116,20,,,lo,the one,,,,,,,,,,,
117,21,,,como,as,,,,,,,,,,,
118,22,,,más,more,,,,,,,,,,,
119,23,,,o,or,,,,,,,,,,,
120,24,,,pero,but,,,,,,,,,,,
121,25,,,sus,his,,,,,,,,,,,
122,26,,,le,le le,,,,,,,,,,,
123,27,,,ha,it has,,,,,,,,,,,
124,28,,,me,I am,,,,,,,,,,,
125,29,,,si,yes,,,,,,,,,,,
126,30,,,sin,without,,,,,,,,,,,
127,31,,,sobre,about,,,,,,,,,,,
128,32,,,este,this,,,,,,,,,,,
129,33,,,ya,already,,,,,,,,,,,
130,34,,,entre,between,,,,,,,,,,,
131,35,,,cuando,when,,,,,,,,,,,
132,36,,,todo,all,,,,,,,,,,,
133,37,,,esta,this,,,,,,,,,,,
134,38,,,ser,being,,,,,,,,,,,
135,39,,,son,are,,,,,,,,,,,
136,40,,,dos,two,,,,,,,,,,,
137,41,,,también,also,,,,,,,,,,,
138,42,,,fue,was,,,,,,,,,,,
139,43,,,había,there was,,,,,,,,,,,
140,44,,,era,was,,,,,,,,,,,
141,45,,,muy,very much,,,,,,,,,,,
142,46,,,años,years,,,,,,,,,,,
143,47,,,hasta,up to,,,,,,,,,,,
144,48,,,desde,from,,,,,,,,,,,
145,49,,,está,is,,,,,,,,,,,
146,50,,,mi,e,,,,,,,,,,,
147,51,,,porque,because,,,,,,,,,,,
148,52,,,qué,what to do,,,,,,,,,,,
149,53,,,sólo,only,,,,,,,,,,,
150,54,,,han,they have been,,,,,,,,,,,
151,55,,,yo,I have been,,,,,,,,,,,
152,56,,,hay,there are,,,,,,,,,,,
153,57,,,vez,time,,,,,,,,,,,
154,58,,,puede,can,,,,,,,,,,,
155,59,,,todos,all,,,,,,,,,,,
156,60,,,así,like this,,,,,,,,,,,
157,61,,,nos,we are,,,,,,,,,,,
158,62,,,ni,nor,,,,,,,,,,,
159,63,,,parte,part,,,,,,,,,,,
160,64,,,tiene,has,,,,,,,,,,,
161,65,,,él,he has been,,,,,,,,,,,
162,66,,,uno,one,,,,,,,,,,,
163,67,,,donde,where to,,,,,,,,,,,
164,68,,,bien,well,,,,,,,,,,,
165,69,,,tiempo,weather,,,,,,,,,,,
166,70,,,mismo,the same,,,,,,,,,,,
167,71,,,ese,that,,,,,,,,,,,
168,72,,,ahora,now,,,,,,,,,,,
169,73,,,cada,each,,,,,,,,,,,
170,74,,,e,e,,,,,,,,,,,
171,75,,,vida,Life,,,,,,,,,,,
172,76,,,otro,other,,,,,,,,,,,
173,77,,,después,after,,,,,,,,,,,
174,78,,,te,you have,,,,,,,,,,,
175,79,,,otros,others,,,,,,,,,,,
176,80,,,aunque,although,,,,,,,,,,,
177,81,,,esa,that,,,,,,,,,,,
178,82,,,eso,that,,,,,,,,,,,
179,83,,,hace,ago,,,,,,,,,,,
180,84,,,otra,other,,,,,,,,,,,
181,85,,,gobierno,government,,,,,,,,,,,
182,86,,,tan,tan,,,,,,,,,,,
183,87,,,durante,during,,,,,,,,,,,
184,88,,,siempre,always,,,,,,,,,,,
185,89,,,día,Day,,,,,,,,,,,
186,90,,,tanto,both,,,,,,,,,,,
187,91,,,ella,she,,,,,,,,,,,
188,92,,,tres,three,,,,,,,,,,,
189,93,,,sí,yes,,,,,,,,,,,
190,94,,,dijo,he said,,,,,,,,,,,
191,95,,,sido,been,,,,,,,,,,,
192,96,,,gran,great,,,,,,,,,,,
193,97,,,país,country,,,,,,,,,,,
194,98,,,según,according to,,,,,,,,,,,
195,99,,,menos,less,,,,,,,,,,,
196,100,,,mundo,world,,,,,,,,,,,
197,101,,,año,year,,,,,,,,,,,
198,102,,,antes,before,,,,,,,,,,,
199,103,,,estado,state,,,,,,,,,,,
200,104,,,contra,against,,,,,,,,,,,
201,105,,,sino,but rather,,,,,,,,,,,
202,106,,,forma,form,,,,,,,,,,,
203,107,,,caso,case,,,,,,,,,,,
204,108,,,nada,Nothing,,,,,,,,,,,
205,109,,,hacer,make,,,,,,,,,,,
206,110,,,general,general,,,,,,,,,,,
207,111,,,estaba,was,,,,,,,,,,,
208,112,,,poco,little bit,,,,,,,,,,,
209,113,,,estos,these,,,,,,,,,,,
210,114,,,presidente,president,,,,,,,,,,,
211,115,,,mayor,major,,,,,,,,,,,
212,116,,,ante,ante,,,,,,,,,,,
213,117,,,unos,some,,,,,,,,,,,
214,118,,,les,les,,,,,,,,,,,
215,119,,,algo,something,,,,,,,,,,,
216,120,,,hacia,towards,,,,,,,,,,,
217,121,,,casa,Household,,,,,,,,,,,
218,122,,,ellos,they have been,,,,,,,,,,,
219,123,,,ayer,Yesterday,,,,,,,,,,,
220,124,,,hecho,fact,,,,,,,,,,,
221,125,,,primera,first,,,,,,,,,,,
222,126,,,mucho,a lot,,,,,,,,,,,
223,127,,,mientras,while,,,,,,,,,,,
224,128,,,además,furthermore,,,,,,,,,,,
225,129,,,quien,who are,,,,,,,,,,,
226,130,,,momento,momentum,,,,,,,,,,,
227,131,,,millones,Millions,,,,,,,,,,,
228,132,,,esto,this,,,,,,,,,,,
229,133,,,españa,Spain,,,,,,,,,,,
230,134,,,hombre,Man,,,,,,,,,,,
231,135,,,están,are,,,,,,,,,,,
232,136,,,pues,"well, because",,,,,,,,,,,
233,137,,,hoy,Today,,,,,,,,,,,
234,138,,,lugar,place,,,,,,,,,,,
235,139,,,madrid,madrid,,,,,,,,,,,
236,140,,,nacional,national,,,,,,,,,,,
237,141,,,trabajo,work,,,,,,,,,,,
238,142,,,otras,others,,,,,,,,,,,
239,143,,,mejor,better,,,,,,,,,,,
240,144,,,nuevo,new,,,,,,,,,,,
241,145,,,decir,Saying,,,,,,,,,,,
242,146,,,algunos,some are,,,,,,,,,,,
243,147,,,entonces,then,,,,,,,,,,,
244,148,,,todas,all,,,,,,,,,,,
245,149,,,días,Days,,,,,,,,,,,
246,150,,,debe,must,,,,,,,,,,,
247,151,,,política,Politics,,,,,,,,,,,
248,152,,,cómo,how to,,,,,,,,,,,
249,153,,,casi,almost,,,,,,,,,,,
250,154,,,toda,all the,,,,,,,,,,,
251,155,,,tal,such a,,,,,,,,,,,
252,156,,,luego,then,,,,,,,,,,,
253,157,,,pasado,past,,,,,,,,,,,
254,158,,,primer,first,,,,,,,,,,,
255,159,,,medio,medium,,,,,,,,,,,
256,160,,,va,goes,,,,,,,,,,,
257,161,,,estas,these,,,,,,,,,,,
258,162,,,sea,be,,,,,,,,,,,
259,163,,,tenía,he had,,,,,,,,,,,
260,164,,,nunca,never,,,,,,,,,,,
261,165,,,poder,power,,,,,,,,,,,
262,166,,,aquí,here,,,,,,,,,,,
263,167,,,ver,See more,,,,,,,,,,,
264,168,,,veces,times,,,,,,,,,,,
265,169,,,embargo,however,,,,,,,,,,,
266,170,,,partido,match,,,,,,,,,,,
267,171,,,personas,people,,,,,,,,,,,
268,172,,,grupo,group,,,,,,,,,,,
269,173,,,cuenta,account,,,,,,,,,,,
270,174,,,pueden,can,,,,,,,,,,,
271,175,,,tienen,have,,,,,,,,,,,
272,176,,,misma,the same,,,,,,,,,,,
273,177,,,nueva,new,,,,,,,,,,,
274,178,,,cual,which one,,,,,,,,,,,
275,179,,,fueron,were,,,,,,,,,,,
276,180,,,mujer,Woman,,,,,,,,,,,
277,181,,,frente,front,,,,,,,,,,,
278,182,,,josé,joseph,,,,,,,,,,,
279,183,,,tras,after,,,,,,,,,,,
280,184,,,cosas,things,,,,,,,,,,,
281,185,,,fin,end,,,,,,,,,,,
282,186,,,ciudad,city,,,,,,,,,,,
283,187,,,he,I have been,,,,,,,,,,,
284,188,,,social,social,,,,,,,,,,,
285,189,,,manera,way,,,,,,,,,,,
286,190,,,tener,to have,,,,,,,,,,,
287,191,,,sistema,system,,,,,,,,,,,
288,192,,,será,sera,,,,,,,,,,,
289,193,,,historia,History,,,,,,,,,,,
290,194,,,muchos,many,,,,,,,,,,,
291,195,,,juan,juan,,,,,,,,,,,
292,196,,,tipo,type,,,,,,,,,,,
293,197,,,cuatro,four,,,,,,,,,,,
294,198,,,dentro,inside,,,,,,,,,,,
295,199,,,nuestro,ours,,,,,,,,,,,
296,200,,,punto,point,,,,,,,,,,,
297,201,,,dice,says,,,,,,,,,,,
298,202,,,ello,it,,,,,,,,,,,
299,203,,,cualquier,any,,,,,,,,,,,
300,204,,,noche,Night,,,,,,,,,,,
301,205,,,aún,still,,,,,,,,,,,
302,206,,,agua,water,,,,,,,,,,,
303,207,,,parece,it seems,,,,,,,,,,,
304,208,,,haber,to have,,,,,,,,,,,
305,209,,,situación,situation,,,,,,,,,,,
306,210,,,fuera,outside,,,,,,,,,,,
307,211,,,bajo,low,,,,,,,,,,,
308,212,,,grandes,large,,,,,,,,,,,
309,213,,,nuestra,ours,,,,,,,,,,,
310,214,,,ejemplo,example,,,,,,,,,,,
311,215,,,acuerdo,agreement,,,,,,,,,,,
312,216,,,habían,they had been,,,,,,,,,,,
313,217,,,usted,you are,,,,,,,,,,,
314,218,,,estados,states,,,,,,,,,,,
315,219,,,hizo,he made,,,,,,,,,,,
316,220,,,nadie,no one,,,,,,,,,,,
317,221,,,países,Countries,,,,,,,,,,,
318,222,,,horas,Hours,,,,,,,,,,,
319,223,,,posible,possible,,,,,,,,,,,
320,224,,,tarde,Evening,,,,,,,,,,,
321,225,,,ley,Law,,,,,,,,,,,
322,226,,,importante,important,,,,,,,,,,,
323,227,,,guerra,war,,,,,,,,,,,
324,228,,,desarrollo,development,,,,,,,,,,,
325,229,,,proceso,process,,,,,,,,,,,
326,230,,,realidad,reality,,,,,,,,,,,
327,231,,,sentido,sense,,,,,,,,,,,
328,232,,,lado,side,,,,,,,,,,,
329,233,,,mí,me,,,,,,,,,,,
330,234,,,tu,you are,,,,,,,,,,,
331,235,,,cambio,change,,,,,,,,,,,
332,236,,,allí,there,,,,,,,,,,,
333,237,,,mano,hand,,,,,,,,,,,
334,238,,,eran,were,,,,,,,,,,,
335,239,,,estar,to be,,,,,,,,,,,
336,240,,,san,San,,,,,,,,,,,
337,241,,,número,number,,,,,,,,,,,
338,242,,,sociedad,Society,,,,,,,,,,,
339,243,,,unas,some,,,,,,,,,,,
340,244,,,centro,downtown,,,,,,,,,,,
341,245,,,padre,father,,,,,,,,,,,
342,246,,,gente,People,,,,,,,,,,,
343,247,,,final,final,,,,,,,,,,,
344,248,,,relación,relationship,,,,,,,,,,,
345,249,,,cuerpo,Body,,,,,,,,,,,
346,250,,,obra,work,,,,,,,,,,,
347,251,,,incluso,even,,,,,,,,,,,
348,252,,,través,via,,,,,,,,,,,
349,253,,,último,last one,,,,,,,,,,,
350,254,,,madre,mother,,,,,,,,,,,
351,255,,,mis,mys,,,,,,,,,,,
352,256,,,modo,mode,,,,,,,,,,,
353,257,,,problemas,problems,,,,,,,,,,,
354,258,,,cinco,five,,,,,,,,,,,
355,259,,,carlos,Carlos,,,,,,,,,,,
356,260,,,hombres,Men,,,,,,,,,,,
357,261,,,información,information,,,,,,,,,,,
358,262,,,ojos,Eyes,,,,,,,,,,,
359,263,,,muerte,Death,,,,,,,,,,,
360,264,,,nombre,Name,,,,,,,,,,,
361,265,,,algunas,some,,,,,,,,,,,
362,266,,,público,public,,,,,,,,,,,
363,267,,,mujeres,women,,,,,,,,,,,
364,268,,,siglo,century,,,,,,,,,,,
365,269,,,todavía,still,,,,,,,,,,,
366,270,,,meses,Months,,,,,,,,,,,
367,271,,,mañana,Morning,,,,,,,,,,,
368,272,,,esos,those,,,,,,,,,,,
369,273,,,nosotros,we are,,,,,,,,,,,
370,274,,,hora,hour,,,,,,,,,,,
371,275,,,muchas,many,,,,,,,,,,,
372,276,,,pueblo,Village,,,,,,,,,,,
373,277,,,alguna,some of the,,,,,,,,,,,
374,278,,,dar,give,,,,,,,,,,,
375,279,,,problema,problem,,,,,,,,,,,
376,280,,,don,gift,,,,,,,,,,,
377,281,,,da,da,,,,,,,,,,,
378,282,,,tú,you have been,,,,,,,,,,,
379,283,,,derecho,right,,,,,,,,,,,
380,284,,,verdad,the truth,,,,,,,,,,,
381,285,,,maría,Mary,,,,,,,,,,,
382,286,,,unidos,united,,,,,,,,,,,
383,287,,,podría,could,,,,,,,,,,,
384,288,,,sería,would be,,,,,,,,,,,
385,289,,,junto,together,,,,,,,,,,,
386,290,,,cabeza,Head,,,,,,,,,,,
387,291,,,aquel,that one,,,,,,,,,,,
388,292,,,luis,luis,,,,,,,,,,,
389,293,,,cuanto,how much,,,,,,,,,,,
390,294,,,tierra,Land,,,,,,,,,,,
391,295,,,equipo,equipment,,,,,,,,,,,
392,296,,,segundo,second,,,,,,,,,,,
393,297,,,director,director,,,,,,,,,,,
394,298,,,dicho,said,,,,,,,,,,,
395,299,,,cierto,TRUE,,,,,,,,,,,
396,300,,,casos,cases,,,,,,,,,,,
397,301,,,manos,Hands,,,,,,,,,,,
398,302,,,nivel,level,,,,,,,,,,,
399,303,,,podía,could,,,,,,,,,,,
400,304,,,familia,Family,,,,,,,,,,,
401,305,,,largo,long,,,,,,,,,,,
402,306,,,partir,to depart,,,,,,,,,,,
403,307,,,falta,lack,,,,,,,,,,,
404,308,,,llegar,arriving,,,,,,,,,,,
405,309,,,propio,Own,,,,,,,,,,,
406,310,,,ministro,minister,,,,,,,,,,,
407,311,,,cosa,thing,,,,,,,,,,,
408,312,,,primero,first,,,,,,,,,,,
409,313,,,seguridad,security,,,,,,,,,,,
410,314,,,hemos,we are disrupting,,,,,,,,,,,
411,315,,,mal,evil,,,,,,,,,,,
412,316,,,trata,tries,,,,,,,,,,,
413,317,,,algún,something,,,,,,,,,,,
414,318,,,tuvo,had,,,,,,,,,,,
415,319,,,respecto,respect,,,,,,,,,,,
416,320,,,semana,week,,,,,,,,,,,
417,321,,,varios,various,,,,,,,,,,,
418,322,,,real,real,,,,,,,,,,,
419,323,,,sé,I know,,,,,,,,,,,
420,324,,,voz,voice,,,,,,,,,,,
421,325,,,paso,step,,,,,,,,,,,
422,326,,,señor,Sir,,,,,,,,,,,
423,327,,,mil,Thousand,,,,,,,,,,,
424,328,,,quienes,who are,,,,,,,,,,,
425,329,,,proyecto,project,,,,,,,,,,,
426,330,,,mercado,market,,,,,,,,,,,
427,331,,,mayoría,majority,,,,,,,,,,,
428,332,,,luz,light,,,,,,,,,,,
429,333,,,claro,clear,,,,,,,,,,,
430,334,,,iba,was going,,,,,,,,,,,
431,335,,,éste,this one,,,,,,,,,,,
432,336,,,pesetas,pesetas,,,,,,,,,,,
433,337,,,orden,Order,,,,,,,,,,,
434,338,,,español,Spanish,,,,,,,,,,,
435,339,,,buena,good,,,,,,,,,,,
436,340,,,quiere,wants to,,,,,,,,,,,
437,341,,,aquella,that one,,,,,,,,,,,
438,342,,,programa,program,,,,,,,,,,,
439,343,,,palabras,Words,,,,,,,,,,,
440,344,,,internacional,international,,,,,,,,,,,
441,345,,,van,van,,,,,,,,,,,
442,346,,,esas,those ones,,,,,,,,,,,
443,347,,,segunda,second,,,,,,,,,,,
444,348,,,empresa,company,,,,,,,,,,,
445,349,,,puesto,posting,,,,,,,,,,,
446,350,,,ahí,there,,,,,,,,,,,
447,351,,,propia,own,,,,,,,,,,,
448,352,,,m,m,,,,,,,,,,,
449,353,,,libro,top book,,,,,,,,,,,
450,354,,,igual,the same,,,,,,,,,,,
451,355,,,político,political,,,,,,,,,,,
452,356,,,persona,person,,,,,,,,,,,
453,357,,,últimos,Latest,,,,,,,,,,,
454,358,,,ellas,they are,,,,,,,,,,,
455,359,,,total,total,,,,,,,,,,,
456,360,,,creo,I think,,,,,,,,,,,
457,361,,,tengo,I have,,,,,,,,,,,
458,362,,,dios,god,,,,,,,,,,,
459,363,,,c,c,,,,,,,,,,,
460,364,,,española,Spanish,,,,,,,,,,,
461,365,,,condiciones,conditions,,,,,,,,,,,
462,366,,,méxico,Mexico,,,,,,,,,,,
463,367,,,fuerza,Strength,,,,,,,,,,,
464,368,,,solo,alone,,,,,,,,,,,
465,369,,,único,unique,,,,,,,,,,,
466,370,,,acción,action,,,,,,,,,,,
467,371,,,amor,Love,,,,,,,,,,,
468,372,,,policía,police officer,,,,,,,,,,,
469,373,,,puerta,Door,,,,,,,,,,,
470,374,,,pesar,weighing,,,,,,,,,,,
471,375,,,zona,area,,,,,,,,,,,
472,376,,,sabe,knows,,,,,,,,,,,
473,377,,,calle,Street,,,,,,,,,,,
474,378,,,interior,interior,,,,,,,,,,,
475,379,,,tampoco,neither,,,,,,,,,,,
476,380,,,música,Music,,,,,,,,,,,
477,381,,,ningún,no,,,,,,,,,,,
478,382,,,vista,view,,,,,,,,,,,
479,383,,,campo,Countryside,,,,,,,,,,,
480,384,,,buen,good,,,,,,,,,,,
481,385,,,hubiera,you had not had,,,,,,,,,,,
482,386,,,saber,to know,,,,,,,,,,,
483,387,,,obras,Works,,,,,,,,,,,
484,388,,,razón,reason,,,,,,,,,,,
485,389,,,ex,ex,,,,,,,,,,,
486,390,,,niños,Children,,,,,,,,,,,
487,391,,,presencia,presence,,,,,,,,,,,
488,392,,,tema,topic,,,,,,,,,,,
489,393,,,dinero,money,,,,,,,,,,,
490,394,,,comisión,commission,,,,,,,,,,,
491,395,,,antonio,antonio,,,,,,,,,,,
492,396,,,servicio,service,,,,,,,,,,,
493,397,,,hijo,son,,,,,,,,,,,
494,398,,,última,last one,,,,,,,,,,,
495,399,,,ciento,cent,,,,,,,,,,,
496,400,,,estoy,I am,,,,,,,,,,,
497,401,,,hablar,to speak,,,,,,,,,,,
498,402,,,dio,he gave,,,,,,,,,,,
499,403,,,minutos,minutes,,,,,,,,,,,
500,404,,,producción,production,,,,,,,,,,,
501,405,,,camino,the way,,,,,,,,,,,
502,406,,,seis,six,,,,,,,,,,,
503,407,,,quién,who is,,,,,,,,,,,
504,408,,,fondo,background,,,,,,,,,,,
505,409,,,dirección,address,,,,,,,,,,,
506,410,,,papel,paper,,,,,,,,,,,
507,411,,,demás,other,,,,,,,,,,,
508,412,,,barcelona,barcelona,,,,,,,,,,,
509,413,,,idea,idea,,,,,,,,,,,
510,414,,,especial,special,,,,,,,,,,,
511,415,,,diferentes,different,,,,,,,,,,,
512,416,,,dado,dice,,,,,,,,,,,
513,417,,,base,base,,,,,,,,,,,
514,418,,,capital,capital,,,,,,,,,,,
515,419,,,ambos,both,,,,,,,,,,,
516,420,,,europa,Europe,,,,,,,,,,,
517,421,,,libertad,freedom,,,,,,,,,,,
518,422,,,relaciones,relationships,,,,,,,,,,,
519,423,,,espacio,space,,,,,,,,,,,
520,424,,,medios,media,,,,,,,,,,,
521,425,,,ir,go,,,,,,,,,,,
522,426,,,actual,current one,,,,,,,,,,,
523,427,,,población,Population,,,,,,,,,,,
524,428,,,empresas,companies,,,,,,,,,,,
525,429,,,estudio,Study,,,,,,,,,,,
526,430,,,salud,health,,,,,,,,,,,
527,431,,,servicios,Services,,,,,,,,,,,
528,432,,,haya,beech,,,,,,,,,,,
529,433,,,principio,principle,,,,,,,,,,,
530,434,,,siendo,being,,,,,,,,,,,
531,435,,,cultura,Culture,,,,,,,,,,,
532,436,,,anterior,previous one,,,,,,,,,,,
533,437,,,alto,high,,,,,,,,,,,
534,438,,,media,average,,,,,,,,,,,
535,439,,,mediante,by means of,,,,,,,,,,,
536,440,,,primeros,first,,,,,,,,,,,
537,441,,,arte,art,,,,,,,,,,,
538,442,,,paz,peace,,,,,,,,,,,
539,443,,,sector,sector,,,,,,,,,,,
540,444,,,imagen,image,,,,,,,,,,,
541,445,,,medida,Measurement,,,,,,,,,,,
542,446,,,deben,they must,,,,,,,,,,,
543,447,,,datos,data,,,,,,,,,,,
544,448,,,consejo,advice,,,,,,,,,,,
545,449,,,personal,personal,,,,,,,,,,,
546,450,,,interés,interest,,,,,,,,,,,
