language,text
deu,"Man sagt, Liebe mache blind."
deu,"Oh, tut mir leid."
deu,"Mathe ist wie Liebe - eine einfache Idee, aber es kann kompliziert werden."
deu,"Antworten sind nur dann nützlich, wenn sie neue Fragen aufwerfen."
deu,"An sich selbst zu zweifeln, ist das erste Zeichen von Intelligenz."
deu,"Arm ist nicht, wer zu wenig besitzt, sondern, wer zu viel haben möchte."
deu,"Da du nicht überrascht bist, denke ich, musst du es gewusst haben."
deu,Wie lange braucht man bis zum Bahnhof?
deu,Das wird eine gute Erinnerung an meine Reise durch die Vereinigten Staaten sein.
deu,"Entschuldigung, erlauben Sie mir, auf drei Fehler in dem obigen Artikel hinzuweisen."
deu,"Es ist schwierig, ein Gespräch mit jemandem zu führen, der nur ""Ja"" und ""Nein"" sagt."
deu,Sprichst du Italienisch?
deu,"Ich kann bei diesem Lärm nicht denken, sagte sie auf die Schreibmaschine starrend."
deu,"Man sagt, dass ""Hamlet"" das interessanteste Stück sei, das je geschrieben wurde."
deu,"Mama, darf ich einen Keks essen? ""Nein, darfst du nicht. Man sollte nicht zwischen den Mahlzeiten essen."""
deu,Könnte ich eine Frage stellen?
deu,"Wie fühlst du dich?, fragte er."
deu,"Es ist ziemlich schwierig, Französisch nach 2, 3 Jahren zu beherrschen."
deu,"Es ist mir unmöglich, es dir zu erklären."
deu,"Ich möchte nicht mein restliches Leben damit verbringen, es zu bereuen."
deu,"Es wäre lustig zu sehen, wie die Dinge sich im Lauf der Jahre ändern."
deu,Das hätte ich nie gedacht.
deu,Die Fantasie hat Auswirkungen auf alle Aspekte in unserem Leben.
deu,Du wirst mich eines Tages vergessen.
deu,Das ist ziemlich unerwartet.
deu,"Ich frage mich, wie lange es dauern wird."
deu,Ich kann ohne Fernsehen nicht leben.
deu,Ich hätte es ohne dich nicht machen können. Danke.
deu,Ohne Anstrengung erreicht man nichts.
deu,Viele Menschen wandern ziellos durchs Leben.
deu,Ein Leben ohne Liebe hat überhaupt keinen Sinn.
deu,"Lasst es mich wissen, wenn ich irgendwelche Änderungen machen muss."
deu,"Ich denke, dass Prüfungen die Erziehung ruinieren."
deu,Wir können wegen des Lärms nicht schlafen.
deu,Hast du ein Kondom?
deu,„Eine Katze?“ fragte der alte Mann.
deu,"Tu, was auch immer er dir befiehlt."
deu,Ich kann in 10 Minuten zur Schule gehen.
deu,"Ich habe über zwei Stunden gebraucht, um einige Seiten Englisch zu übersetzen."
deu,Es ist schon 11 Uhr.
deu,Könnte ich Fräulein Brown sprechen?
deu,"Ja, Orangensaft bitte, sagt Mike."
deu,Ah! ist ein Ausruf.
deu,"Die Verpflichtung zum Schulbesuch wird selten analysiert in der Vielzahl der Werke, die den mannigfaltigen Arten gewidmet sind, bei Kindern den Wunsch zu lernen zu entwickeln."
deu,Mann bist du doof! Ich muss dir echt alles erklären!
deu,Ich habe ein Hühnchen mit dir zu rupfen.
deu,"Ist es nötig, dass ich dir Geld gebe?"
deu,Paris ist die schönste Stadt der Welt.
deu,"Ich dachte immer, einen Herzanfall zu haben, sei die Art der Natur, dir zu sagen, dass du sterben musst."
deu,"He, ich habe vielleicht kein Geld, aber ich habe immer noch meinen Stolz."
deu,Ich habe einen Traum.
deu,"Das ist meine Freundin Rachel, wir sind zusammen ins Gymnasium gegangen."
deu,Die Lebenshaltungskosten sind drastisch gestiegen.
deu,Alles Erfundene ist wahr.
deu,"Überrascht sein, sich wundern, heißt anfangen, zu verstehen."
deu,Zweifellos ist das Universum unendlich.
deu,Zur Vollkommenheit fehlte ihr nur ein Fehler.
deu,"Und doch, auch das Gegenteil ist immer wahr."
deu,"Wir sehen die Dinge nicht, wie sie sind, sondern wie wir sind."
deu,Die Welt ist ein Irrenhaus.
deu,"Kein Schüler beschwert sich je, Schmerzen im Frontallappen der linken Gehirnhälfte zu haben."
deu,"Du hast mir die Augen dafür geöffnet, wie es ist, wenn alles gut geht."
deu,"Du hast mich gefunden, wo sonst niemand gesucht hat."
deu,"Du bist an meiner Seite, jetzt ist alles gut."
deu,"Wie, du weißt nicht?!"
deu,Du siehst dumm aus.
deu,"Ich denke, ich werde schlafen gehen."
deu,"Ich muss einkaufen gehen, ich komme in einer Stunde zurück."
deu,Ich heiße Jack.
deu,Es gefällt mir sehr gut.
deu,Sehen wir uns morgen?
deu,Wie heißt das auf Italienisch?
deu,Ist es weit von hier?
deu,Das sind nicht meine Sachen!
deu,"Danke, das ist alles."
deu,Tanzt du mit mir?
deu,Wie viel Uhr ist es?
deu,Es ist nicht meine Schuld!
deu,Ich möchte eine Nacht bleiben.
deu,Könnten Sie für mich wählen? Das Telefon hängt zu hoch.
deu,Gibt es hier in der Nähe eine Jugendherberge?
deu,Wo sind die Duschen?
deu,Öffnen Sie den Mund!
deu,Ist es schlimm?
deu,Ich habe meine Brieftasche verloren.
deu,Ich bin einverstanden.
deu,Liebe ist nie verschwendet.
deu,"Leben ist das, was dir zustößt, während du gerade damit beschäftigt bist, andere Pläne zu machen."
deu,Nicht wollen ist das Gleiche wie haben.
deu,Er ist sehr sexy.
deu,Lass mich in Ruhe!
deu,"„Gib mir bitte das Salz.“ „Hier, nimm.“"
deu,Es gibt zu viele Dinge zu tun!
deu,Wie alt bist du?
deu,"Los, spiel' mit mir, mir ist so langweilig!"
deu,"Denk nicht mal dran, meine Schokolade zu essen!"
deu,"Hör auf, mich um ein Getränk zu bitten! Geh, hol dir selbst eins."
deu,Dank dir habe ich meinen Appetit verloren.
deu,"Ich habe wirklich das Bedürfnis, jemanden zu schlagen."
deu,"Das ist so lange her, dass ich mit meiner Familie ins Disneyland gegangen bin."
deu,Meine Eltern streiten sich dauernd wegen Kleinigkeiten. Das regt mich so auf!
deu,"Wenn du dich nicht mit Sonnencreme eincremen willst, ist das deine Sache. Aber beschwer' dich später nicht bei mir, wenn du Sonnenbrand hast."
deu,"Meine Freunde sagen immer, ich sei zu ruhig, aber meine Familie sagt immer, ich sei zu nervig."
deu,"Ich hasse diese Spinnen; wegen denen flippe ich jedes Mal aus, wenn ich sauber mache."
deu,"Zu nervig... Ich kann nicht einmal einen Computer benutzen, ohne Kopfweh zu bekommen!"
deu,"Es ist so heiß, dass man Eier auf den Motorhauben der Autos braten könnte."
deu,Wer kennt dieses Problem nicht?!
deu,Heute ist es sehr heiß.
deu,Es ist niemand gekommen.
deu,Ich habe noch nie einen roten Kühlschrank gesehen.
deu,Er hat sein Wort gebrochen.
deu,"Lieber für das gehasst werden, was man ist, als geliebt werden für das, was man nicht ist."
deu,"Es ist einsam im Sattel, seit das Pferd gestorben ist."
deu,"Die Mathematik ist der Teil der Wissenschaft, den man weiter betreiben könnte, wenn man morgen aufwachen würde und entdecken würde, dass das Universum weg ist."
deu,"Meine Augen sind ein Ozean, in dem sich meine Träume spiegeln."
deu,"Ihr kennt den Satz, wir ernten, was wir säen. Ich habe den Wind gesät und hier ist mein Sturm."
deu,"Schau mich an, wenn ich mit dir rede!"
deu,Was wäre die Welt ohne Frauen?
deu,"Was wäre, wenn du eine Rede halten würdest, und niemand käme?"
deu,"Ich weiß nicht, was ich sagen soll, um dich zu trösten."
deu,Er ist nicht mein Typ.
deu,"Ich versuchte, die Zeit totzuschlagen."
deu,Wie bist du auf diese verrückte Idee gekommen?
deu,Wer will heiße Schokolade?
deu,Sprechen Sie bitte langsamer!
deu,Und was werden wir machen?
deu,Ich habe Kopfweh.
deu,Wo kann man telefonieren?
deu,"Ich muss zugeben, dass ich schnarche."
deu,Heute Abend gehen wir in die Kirche.
deu,Wie geht's dir? Hattest du eine gute Reise?
deu,Ich fühle mich nicht gut.
deu,Rufen Sie die Polizei!
deu,Das ist zu teuer!
deu,"Sie gibt nur vor zu schlafen, deswegen schnarcht sie nicht."
deu,"Meine Schuhe sind zu klein, ich brauche neue."
deu,"Hauen wir ab von hier, die Bullen kommen."
deu,Fröhliche Weihnachten!
deu,"Das wäre zu cool, wenn ich zehn Sprachen sprechen könnte!"
deu,"Wenn du müde bist, wieso gehst du nicht schlafen? ""Weil ich zu früh aufwachen werde, wenn ich jetzt schlafen gehe."""
deu,Du hättest mir zuhören sollen.
deu,Das ist ein totales Schlamassel und es geht mir auf die Nerven.
deu,"Wenn der Körper berührt wird, schicken Rezeptoren in der Haut Nachrichten zum Gehirn und verursachen die Ausschüttung von chemischen Stoffen wie Endorphinen."
deu,Was bringt das mit sich?
deu,"Man erwartet, dass 2006 hundertfünfzigtausend Paare in Shanghai heiraten."
deu,Die Ausgewählten werden umfassende medizinische und psychologische Tests machen müssen.
deu,Eine halbe Million Kinder im Niger leidet immer noch an Unterernährung.
deu,"Es wird fünf bis zehn Jahre dauern, bis die Technologie bereit ist."
deu,Fahrräder sind Hilfsmittel für städtische Nachhaltigkeit.
deu,"Die französische Regierung hat ein Online-Spiel auf den Markt gebracht, das Steuerzahler auffordert, den Staatshaushalt auszugleichen."
deu,"Er wäre froh, das zu hören."
deu,"Was glauben Sie ist wahr, obwohl Sie es nicht beweisen können?"
deu,Computer machen die Leute dumm.
deu,"Fragt nicht, was sie denken. Fragt, was sie tun."
deu,"Wenn Sie versuchen, etwas zu beweisen, hilft es zu wissen, dass es wahr ist."
deu,"Was die Welt verändert, ist Kommunikation, nicht Information."
deu,Die meisten wissenschaftlichen Durchbrüche sind nichts anderes als die Entdeckung von etwas Selbstverständlichem.
deu,"Wenn Sie etwas nicht verstehen, dann, weil Sie sich nicht des Kontextes bewusst sind."
deu,"Die Vergangenheit kann man nur kennen, nicht ändern. Die Zukunft kann man nur ändern, nicht kennen."
deu,"Die Schlüsselfrage ist nicht, was ich gewinnen kann, sondern, was ich verlieren kann."
deu,"Alles, was falsch verstanden werden kann, wird falsch verstanden werden."
deu,"Jedes Universum, das einfach genug ist, um verstanden zu werden, ist zu einfach, um einen Geist hervorzubringen, der es versteht."
deu,Warum ist das Leben so voll mit Leiden?
deu,Trotz der Wichtigkeit von Schlaf ist sein Zweck ein Rätsel.
deu,"Was bedeutet es, im 21. Jahrhundert einen gebildeten Verstand zu haben?"
deu,Leidenschaft schafft Leiden.
deu,Der Zug aus Genf wird in den Bahnhof einfahren.
deu,Ich würde ihm gerne ein Geschenk zu seinem Geburtstag machen.
deu,Ich sterbe vor Hunger!
deu,Hast du Freunde in Antigua?
deu,Ein Kubikmeter entspricht 1000 Litern.
deu,"Ich habe so viel Arbeit, dass ich eine Stunde länger bleibe."
deu,Ich bin verheiratet und habe zwei Kinder.
deu,Er spielt sehr gut Klavier.
deu,Ich möchte in Paris studieren.
deu,"Ihr wisst nicht, wer ich bin."
deu,Warum isst du kein Gemüse?
deu,Warum gehen Leute ins Kino?
deu,Ich ziehe mich aus.
deu,Das Auto fuhr gegen die Mauer.
deu,Es gibt keine reellen Visionen.
deu,"Es bringt nichts, mir ""Hallo, wie geht's?"" zu sagen, wenn du sonst nichts zu sagen hast."
deu,"In einem Wörterbuch wie diesem sollte es mindestens zwei Sätze mit ""Kühlschrank"" geben."
deu,Der Kreationismus ist eine Pseudowissenschaft.
deu,Der Wind hat sich beruhigt.
deu,Ich will nicht um deine Hand anhalten!
deu,"Gib mir Zeit, dir alles zu geben, was ich habe!"
deu,"Ein Demokrat ist ein freier Bürger, der sich dem Willen der Mehrheit beugt."
deu,Rom ist nicht an einem Tage erbaut worden.
deu,Keine Antwort ist auch eine.
deu,„Bist du fertig?“ – „Im Gegenteil. Ich habe noch nicht einmal begonnen.“
deu,"Guten Morgen, sagte Tom mit einem Lächeln."
deu,"Warum sagt man ""Guten Tag!"", wenn der Tag nicht gut ist?"
deu,Wein ist in Flaschen gefüllte Poesie.
deu,Das war der schönste Tag in meinem Leben.
deu,Ich verstehe kein Deutsch.
deu,Ich habe meine Entscheidung getroffen.
deu,Ich gebe dir mein Wort.
deu,Du bist die große Liebe meines Lebens.
deu,"Objektiv sein heißt, nicht zu verraten, zu wem man hält."
deu,Wir haben einen Papst.
